,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,gps_status,cgps_used,press_compass_status,f_mode,gps_pos_used,vehicle_type,error_flags1,gps_accH
20150713 14:01:26:467,-37,11.8,0.0,-0.04,32.963577,-117.064606,0.01,true,3,16,-1.36,195.3,0.89,15,97,1,1,21,16,false,2,0,0.8
20150713 14:01:26:564,-39,11.8,0.0,-0.07,32.963577,-117.064606,0.01,true,3,16,-1.35,195.31,0.89,15,97,1,1,21,16,false,2,0,0.8
20150713 14:01:26:776,-36,11.8,0.0,-0.07,32.963577,-117.064606,0.01,true,3,16,-1.35,195.3,0.89,15,97,1,1,21,16,false,2,0,0.8
20150713 14:01:26:990,-31,11.8,0.0,-0.05,32.963577,-117.064606,0.0,true,3,16,-1.35,195.3,0.9,15,97,1,1,21,16,false,2,0,0.8
20150713 14:01:27:662,-31,11.8,0.0,-0.03,32.963577,-117.064606,0.0,true,3,16,-1.34,195.3,0.9,15,97,1,1,21,16,false,2,0,0.75
20150713 14:01:27:842,-39,11.8,0.0,0.0,32.963577,-117.064606,0.01,true,3,16,-1.34,195.3,0.9,15,97,1,1,21,16,false,2,0,0.75
20150713 14:01:28:045,-31,11.8,0.0,-0.02,32.963577,-117.064606,0.0,true,3,16,-1.34,195.3,0.91,15,97,1,1,21,16,false,2,0,0.75
20150713 14:01:28:243,-33,11.8,0.0,0.0,32.963577,-117.064606,0.014142135,true,3,16,-1.34,195.29001,0.91,15,97,1,1,21,16,false,2,0,0.75
20150713 14:01:28:842,-34,11.8,0.0,-0.08,32.963577,-117.064606,0.0,true,3,16,-1.34,195.28,0.91,15,97,1,1,21,16,false,2,0,0.75
20150713 14:01:29:328,-30,11.8,0.0,-0.09,32.963577,-117.064606,0.01,true,3,16,-1.34,195.28,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:29:523,-30,11.8,0.0,-0.06,32.963577,-117.064606,0.01,true,3,16,-1.34,195.26999,0.9,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:30:082,-38,11.8,0.0,-0.07,32.96358,-117.064606,0.01,true,3,16,-1.33,195.26999,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:30:143,-27,11.8,0.0,-0.07,32.96358,-117.064606,0.014142135,true,3,16,-1.33,195.26999,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:30:405,-35,11.8,0.0,-0.08,32.96358,-117.064606,0.014142135,true,3,16,-1.33,195.26001,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:30:508,-27,11.8,0.0,-0.08,32.96358,-117.064606,2.5500195,true,3,16,-1.33,195.26001,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:30:718,-33,11.8,0.0,-0.09,32.96358,-117.064606,0.0,true,3,16,-1.33,195.26001,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:31:036,-29,11.8,0.0,-0.07,32.96358,-117.064606,0.0,true,3,16,-1.34,195.25,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:31:408,-31,11.8,0.0,-0.07,32.96358,-117.064606,0.014142135,true,3,16,-1.33,195.25,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:31:717,-33,11.8,0.0,-0.07,32.96358,-117.064606,0.0,true,3,16,-1.34,195.23999,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:31:898,-27,11.8,0.0,-0.06,32.96358,-117.064606,0.0,true,3,16,-1.34,195.23999,0.91,15,97,1,1,21,16,false,2,0,0.7
20150713 14:01:32:089,-27,11.8,0.0,-0.08,32.96358,-117.064606,0.0,true,3,16,-1.34,195.23999,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:32:808,-27,11.8,0.0,-0.07,32.96358,-117.064606,0.014142135,true,3,16,-1.34,195.23999,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:32:893,-35,11.8,0.0,-0.06,32.96358,-117.064606,0.014142135,true,3,16,-1.34,195.23999,0.9,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:33:117,-28,11.8,0.0,-0.03,32.96358,-117.064606,0.014142135,true,3,16,-1.34,195.23001,0.9,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:33:269,-29,11.8,0.0,-0.04,32.96358,-117.064606,0.01,true,3,16,-1.34,195.23001,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:33:469,-31,11.8,0.0,-0.02,32.96358,-117.064606,0.01,true,3,16,-1.33,195.23001,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:33:764,-35,11.8,0.0,-0.01,32.96358,-117.064606,2.5600195,true,3,16,-1.34,195.23001,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:34:067,-34,11.8,0.0,-0.01,32.96358,-117.064606,0.01,true,3,16,-1.34,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:34:145,-39,11.8,0.0,-0.01,32.96358,-117.064606,0.01,true,3,16,-1.33,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:34:355,-27,11.8,0.0,-0.02,32.96358,-117.064606,0.0,true,3,16,-1.33,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:34:552,-29,11.8,0.0,-0.03,32.96358,-117.064606,0.01,true,3,16,-1.33,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:34:749,-30,11.8,0.0,-0.04,32.96358,-117.064606,0.0,true,3,16,-1.33,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:35:145,-34,11.8,0.0,-0.04,32.96358,-117.064606,0.01,true,3,16,-1.34,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:35:349,-39,11.8,0.0,-0.01,32.96358,-117.064606,0.0,true,3,16,-1.34,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:35:427,-35,11.8,0.0,-0.04,32.96358,-117.064606,0.0,true,3,16,-1.34,195.22,0.91,15,97,1,1,21,16,false,2,0,0.65
20150713 14:01:35:626,-29,11.8,0.0,-0.04,32.96358,-117.064606,0.01,true,3,16,-1.33,195.22,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:35:849,-31,11.8,0.0,-0.07,32.96358,-117.064606,0.01,true,3,16,-1.33,195.22,0.92,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:36:060,-33,11.8,0.0,-0.05,32.963585,-117.064606,0.01,true,3,16,-1.33,195.22,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:36:222,-52,11.8,0.0,-0.06,32.963585,-117.064606,0.0,true,3,16,-1.33,195.20999,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:36:333,-41,11.8,0.0,-0.07,32.963585,-117.064606,0.0,true,3,16,-1.33,195.20999,0.92,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:36:529,-46,11.8,0.0,-0.05,32.963585,-117.064606,0.01,true,3,16,-1.33,195.20999,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:36:805,-39,11.8,0.0,-0.08,32.963585,-117.064606,0.0,true,3,16,-1.33,195.20999,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:36:907,-55,11.8,0.0,-0.12,32.963585,-117.064606,0.0,true,3,16,-1.33,195.20999,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:37:111,-43,11.8,0.0,-0.07,32.963585,-117.064606,0.01,true,3,16,-1.33,195.20999,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:37:308,-45,11.8,0.0,-0.06,32.963585,-117.064606,0.0,true,3,16,-1.33,195.2,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:37:806,-45,11.8,0.0,-0.05,32.963585,-117.064606,0.0,true,3,17,-1.33,195.2,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:38:086,-38,11.8,0.0,-0.03,32.963585,-117.064606,0.01,true,3,17,-1.33,195.2,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:38:289,-39,11.8,0.0,-0.03,32.963585,-117.064606,0.0,true,3,17,-1.33,195.19,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:38:490,-43,11.8,0.0,-0.04,32.963585,-117.064606,0.0,true,3,17,-1.33,195.19,0.91,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:39:191,-30,11.8,0.0,-0.06,32.963585,-117.064606,0.0,true,3,17,-1.33,195.19,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:39:267,-31,11.8,0.0,-0.06,32.963585,-117.064606,0.0,true,3,17,-1.33,195.19,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:39:467,-37,11.8,0.0,-0.07,32.963585,-117.064606,0.0,true,3,17,-1.33,195.19,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:39:676,-36,11.8,0.0,-0.05,32.963585,-117.064606,0.01,true,3,17,-1.33,195.19,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:39:867,-33,11.8,0.0,-0.04,32.963585,-117.064606,0.0,true,3,17,-1.33,195.19,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:40:166,-34,11.8,0.0,-0.02,32.963585,-117.064606,0.01,true,3,17,-1.33,195.18,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:40:268,-35,11.8,0.0,0.0,32.963585,-117.064606,0.01,true,3,17,-1.33,195.18,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:40:471,-33,11.8,0.0,-0.02,32.963585,-117.064606,0.0,true,3,17,-1.33,195.18,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:40:547,-32,11.8,0.0,-0.03,32.963585,-117.064606,0.01,true,3,17,-1.33,195.18,0.9,15,97,1,1,21,16,false,2,0,0.6
20150713 14:01:40:749,-33,11.8,0.0,-0.06,32.963585,-117.064606,0.01,true,3,17,-1.34,195.18,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:40:956,-33,11.8,0.0,-0.06,32.963585,-117.064606,0.01,true,3,17,-1.34,195.18,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:41:147,-31,11.8,0.0,-0.05,32.963585,-117.064606,0.0,true,3,17,-1.34,195.18,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:41:445,-33,11.8,0.0,-0.05,32.963585,-117.064606,0.01,true,3,17,-1.34,195.18,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:41:673,-27,11.8,0.0,-0.08,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.89,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:41:970,-29,11.8,0.0,-0.11,32.963585,-117.064606,0.01,true,3,17,-1.33,195.18,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:42:173,-29,11.8,0.0,-0.08,32.963585,-117.064606,0.0,true,3,17,-1.34,195.18,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:42:335,-30,11.8,0.0,-0.07,32.963585,-117.064606,0.0,true,3,17,-1.33,195.17,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:42:537,-29,11.8,0.0,-0.05,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:42:636,-27,11.8,0.0,-0.05,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:42:737,-33,11.8,0.0,-0.05,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:42:834,-31,11.8,0.0,-0.05,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:43:033,-26,11.8,0.0,-0.03,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:43:114,-28,11.8,0.0,-0.03,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:43:311,-27,11.8,0.0,-0.03,32.963585,-117.064606,2.56,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:43:602,-26,11.8,0.0,-0.05,32.963585,-117.064606,2.55,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:43:723,-27,11.8,0.0,-0.04,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:44:213,-27,11.8,0.0,-0.06,32.963585,-117.064606,0.0,true,3,17,-1.34,195.17,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:44:527,-31,11.8,0.0,-0.02,32.963585,-117.064606,0.014142135,true,3,17,-1.33,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:44:721,-31,11.8,0.0,-0.02,32.963585,-117.064606,0.014142135,true,3,17,-1.33,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:44:960,-31,11.8,0.0,-0.01,32.963585,-117.064606,0.01,true,3,17,-1.33,195.16,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:45:128,-27,11.8,0.0,-0.02,32.963585,-117.064606,0.01,true,3,17,-1.33,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:45:293,-30,11.8,0.0,-0.03,32.963585,-117.064606,0.01,true,3,17,-1.33,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:45:394,-31,11.8,0.0,-0.04,32.963585,-117.064606,0.01,true,3,17,-1.34,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:45:596,-31,11.8,0.0,-0.06,32.963585,-117.064606,0.01,true,3,17,-1.34,195.16,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:45:673,-34,11.8,0.0,-0.07,32.963585,-117.064606,0.01,true,3,17,-1.34,195.16,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:45:874,-34,11.8,0.0,-0.05,32.963585,-117.064606,0.01,true,3,17,-1.34,195.15,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:46:082,-41,11.8,0.0,-0.07,32.963585,-117.064606,0.022360679,true,3,17,-1.34,195.15,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:46:286,-37,11.8,0.0,-0.08,32.963585,-117.064606,0.01,true,3,17,-1.34,195.16,0.9,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:46:509,-34,11.8,0.0,-0.12,32.963585,-117.064606,0.014142135,true,3,17,-1.34,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:46:776,-30,11.8,0.0,-0.06,32.963585,-117.064606,0.014142135,true,3,17,-1.34,195.16,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:47:055,-32,11.8,0.0,-0.04,32.96359,-117.064606,0.014142135,true,3,17,-1.34,195.15,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:47:261,-31,11.8,0.0,-0.04,32.96359,-117.064606,0.0,true,3,17,-1.34,195.15,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:47:495,-35,11.8,0.0,-0.05,32.96359,-117.064606,0.0,true,3,17,-1.34,195.15,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:47:651,-40,11.8,0.0,-0.05,32.96359,-117.064606,0.01,true,3,17,-1.34,195.15,0.91,15,97,1,1,21,16,false,2,0,0.55
20150713 14:01:47:971,-43,11.8,0.0,-0.05,32.96359,-117.064606,0.01,true,3,17,-1.33,195.15,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:48:196,-63,11.8,0.0,-0.02,32.96359,-117.064606,0.01,true,3,17,-1.33,195.15,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:48:241,-43,11.8,0.0,-0.01,32.96359,-117.064606,0.01,true,3,17,-1.33,195.15,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:48:442,-43,11.8,0.0,0.0,32.96359,-117.064606,0.0,true,3,17,-1.33,195.15,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:48:638,-43,11.8,0.0,0.01,32.96359,-117.064606,0.0,true,3,17,-1.33,195.15,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:48:842,-52,11.8,0.0,0.01,32.96359,-117.064606,0.0,true,3,17,-1.33,195.14,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:49:031,-45,11.8,0.0,0.02,32.96359,-117.064606,0.0,true,3,17,-1.33,195.14,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:49:233,-50,11.8,0.0,0.0,32.96359,-117.064606,0.01,true,3,17,-1.33,195.14,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:49:460,-38,11.8,0.0,0.0,32.96359,-117.064606,0.01,true,3,17,-1.33,195.14,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:49:516,-48,11.8,0.0,0.0,32.96359,-117.064606,0.01,true,3,17,-1.33,195.14,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:49:730,-37,11.8,0.0,0.0,32.96359,-117.064606,0.014142135,true,3,17,-1.32,195.14,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:49:915,-34,11.8,0.0,0.0,32.96359,-117.064606,0.01,true,3,17,-1.32,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:50:117,-31,11.8,0.0,-0.03,32.96359,-117.064606,0.01,true,3,17,-1.32,195.14,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:50:316,-31,11.8,0.0,-0.03,32.96359,-117.064606,0.01,true,3,17,-1.31,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:50:515,-41,11.8,0.0,-0.03,32.96359,-117.064606,2.5600195,true,3,17,-1.32,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:50:726,-32,11.8,0.0,0.0,32.96359,-117.064606,2.5500195,true,3,17,-1.32,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:50:823,-37,11.8,0.0,0.0,32.96359,-117.064606,0.01,true,3,17,-1.32,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:51:038,-27,11.8,0.0,0.03,32.96359,-117.064606,0.01,true,3,17,-1.31,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:51:236,-28,11.8,0.0,0.02,32.96359,-117.064606,0.01,true,3,17,-1.31,195.13,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:51:402,-29,11.8,0.0,0.0,32.96359,-117.064606,0.0,true,3,17,-1.31,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:51:594,-26,11.8,0.0,0.02,32.96359,-117.064606,0.014142135,true,3,17,-1.31,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:51:795,-33,11.8,0.0,0.01,32.96359,-117.064606,0.01,true,3,17,-1.31,195.12,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:51:995,-30,11.8,0.0,0.02,32.96359,-117.064606,0.0,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:52:079,-40,11.8,0.0,0.0,32.96359,-117.064606,0.0,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:52:287,-30,11.8,0.0,-0.03,32.96359,-117.064606,0.01,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:52:503,-31,11.8,0.0,-0.03,32.96359,-117.064606,0.01,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:52:676,-31,11.8,0.0,-0.05,32.96359,-117.064606,0.0,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:53:009,-30,11.8,0.0,-0.04,32.96359,-117.064606,0.01,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:53:075,-44,11.8,0.0,-0.01,32.96359,-117.064606,0.01,true,3,17,-1.32,195.12,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:53:277,-31,11.8,0.0,-0.02,32.96359,-117.064606,0.0,true,3,17,-1.32,195.12,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:53:356,-37,11.8,0.0,-0.02,32.96359,-117.064606,0.01,true,3,17,-1.32,195.11,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:53:555,-31,11.8,0.0,-0.01,32.96359,-117.064606,0.0,true,3,17,-1.31,195.11,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:53:786,-31,11.8,0.0,0.0,32.96359,-117.064606,0.01,true,3,17,-1.32,195.11,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:54:000,-31,11.8,0.0,0.0,32.96359,-117.064606,0.0,true,3,17,-1.32,195.11,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:54:152,-31,11.8,0.0,0.0,32.96359,-117.064606,0.014142135,true,3,17,-1.32,195.1,0.91,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:54:497,-30,11.8,0.0,0.05,32.96359,-117.064606,0.01,true,3,17,-1.32,195.1,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:54:737,-33,11.8,0.0,0.07,32.963593,-117.064606,0.01,true,3,17,-1.32,195.1,0.92,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:54:942,-31,11.8,0.0,0.09,32.963593,-117.064606,0.0,true,3,17,-1.33,195.1,0.93,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:55:140,-31,11.8,0.0,0.05,32.963593,-117.064606,0.01,true,3,17,-1.33,195.1,0.94,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:55:333,-30,11.8,0.0,0.07,32.963593,-117.064606,0.01,true,3,17,-1.34,195.1,0.94,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:55:534,-37,11.8,0.0,0.08,32.963593,-117.064606,0.014142135,true,3,16,-1.34,195.09,0.94,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:55:736,-29,11.8,0.0,0.09,32.963593,-117.064606,0.014142135,true,3,16,-1.34,195.09,0.94,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:56:029,-31,11.8,0.0,0.07,32.963593,-117.064606,0.014142135,true,3,16,-1.34,195.09,0.94,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:56:246,-33,11.8,0.0,0.07,32.963593,-117.064606,0.01,true,3,17,-1.34,195.09,0.94,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:56:421,-34,11.8,0.0,0.09,32.963593,-117.064606,0.0,true,3,17,-1.34,195.09,0.93,15,97,1,1,21,16,false,2,0,0.5
20150713 14:01:56:618,-62,11.8,0.0,0.09,32.963593,-117.064606,0.0,true,3,16,-1.34,195.09,0.93,15,97,1,1,21,16,false,2,0,0.5
